filename,source_name,coordinates
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:02.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:10.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:42:06.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:40:54.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:26.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:38:54.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:42:21.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:42.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:38:22.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:41:10.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:40:46.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:42:45.sf,J1030-6008,10:30:26.160-60:08:37.40
